task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
11	90/7631ec	33243	trim_galore (sample3)	CACHED	0	2018-04-10 13:38:39.736	27m 37s	27m 36s	232.6%	189.2 MB	3.1 GB	47.7 GB	47.4 GB
7	a1/3e9a36	33184	fastqc (sample5)	CACHED	0	2018-04-10 13:38:39.702	7m 5s	7m 5s	108.0%	264.8 MB	3 GB	2.3 GB	1.5 MB
13	5e/3cf1ef	21666	trim_galore (sample5)	CACHED	0	2018-04-10 13:44:29.263	31m 10s	31m 10s	241.6%	197.1 MB	3.1 GB	55.5 GB	55.1 GB
12	aa/e503a1	10863	trim_galore (sample1)	CACHED	0	2018-04-10 13:43:18.229	25m 36s	25m 36s	219.2%	208.2 MB	3.1 GB	44.7 GB	44.4 GB
5	c5/79ba0a	33122	fastqc (sample3)	CACHED	0	2018-04-10 13:38:39.661	6m 11s	6m 10s	107.0%	242.6 MB	3 GB	2.1 GB	1.2 MB
6	eb/40b602	33147	fastqc (sample1)	CACHED	0	2018-04-10 13:38:39.679	5m 49s	5m 49s	112.0%	257.3 MB	3 GB	2 GB	1.3 MB
8	b9/b3b0b6	33392	trim_galore (sample2)	CACHED	0	2018-04-10 13:38:39.825	22m 29s	22m 29s	215.1%	197.2 MB	3.1 GB	35.1 GB	34.8 GB
3	e6/fe6015	33097	fastqc (sample4)	CACHED	0	2018-04-10 13:38:39.643	6m 51s	6m 50s	113.0%	254.7 MB	3 GB	2.2 GB	1.3 MB
1	f2/618f74	39005	makeSTARindex (/home/mirrors/gatk-bundle/hg38/Homo_sapiens_assembly38.fasta)	CACHED	0	2018-04-10 14:08:53.954	51m 19s	51m 19s	889.0%	36.8 GB	40.8 GB	53.7 GB	73.3 GB
10	3a/1e870d	33329	trim_galore (sample6)	CACHED	0	2018-04-10 13:38:39.786	26m 57s	26m 57s	326.3%	223.3 MB	3.1 GB	44 GB	43.7 GB
4	14/38c785	33059	fastqc (sample6)	CACHED	0	2018-04-10 13:38:39.591	5m 50s	5m 50s	109.0%	250.1 MB	3 GB	1.8 GB	1.2 MB
9	3d/f435d6	33438	trim_galore (sample4)	CACHED	0	2018-04-10 13:38:39.843	30m 25s	30m 24s	353.0%	226.7 MB	3.1 GB	50.9 GB	50.7 GB
2	24/34500a	33196	fastqc (sample2)	CACHED	0	2018-04-10 13:38:39.715	4m 38s	4m 38s	111.0%	250.8 MB	3 GB	1.5 GB	1.2 MB
17	be/4f5a83	55634	star (sample1)	CACHED	0	2018-04-10 15:00:13.084	17m 39s	17m 34s	590.6%	36.8 GB	38.6 GB	62.7 GB	15.4 GB
15	83/e6afc5	17971	star (sample6)	CACHED	0	2018-04-10 15:17:52.001	17m 40s	17m 39s	571.1%	36.9 GB	38.9 GB	61.9 GB	14.6 GB
16	83/444219	49537	star (sample3)	CACHED	0	2018-04-10 15:56:25.242	18m 20s	18m 20s	604.8%	36.8 GB	38.6 GB	64.5 GB	15.9 GB
19	f0/a862b3	31179	star (sample5)	CACHED	0	2018-04-10 15:35:31.556	20m 54s	20m 54s	658.8%	36.9 GB	39 GB	69.9 GB	19.2 GB
14	6c/5acb8e	9370	star (sample2)	CACHED	0	2018-04-10 16:34:57.726	15m 45s	15m 45s	521.0%	36.8 GB	38.7 GB	55.7 GB	11.7 GB
18	a3/d64698	58285	star (sample4)	CACHED	0	2018-04-10 16:14:45.653	20m 12s	20m 12s	647.5%	36.9 GB	39 GB	66.7 GB	17.2 GB
29	ed/523edc	43582	featureCounts (sample6AlignedByCoord.out)	CACHED	0	2018-04-10 15:38:27.828	5m 50s	5m 50s	100.0%	147.9 MB	271.8 MB	13.9 GB	4.6 GB
24	75/39dba6	26907	genebody_coverage (sample1AlignedByCoord.out)	CACHED	0	2018-04-10 15:34:38.153	1h 1m 1s	1h 1m 1s	120.5%	9.9 GB	11.2 GB	371.2 GB	9.7 GB
20	00/68a7d1	18068	preseq (sample1AlignedByCoord.out)	CACHED	0	2018-04-10 15:17:52.178	8m 12s	8m 12s	109.0%	17.5 MB	43.2 MB	2.5 GB	4.9 KB
